quote,author
"To go fast, go alone. To go far, go together",African Proverb
"In fact, the only way to manage stress is to build up your resilience and strength.",anomymous
Predispose yourself to practice,anonymous
"The secret to building great products is not creating awesome features, it's to make your users awesome",Kathy Sierra
Writing is Nature's way of exposing how sloppy your thinking is.,Guindon
The biggest issue on software teams is making sure everyone understands what everyone else is doing.,Martin Fowler
"Promise me you'll always remember: you're braver than you believe, and stronger than you seem, and smarter than you think",Winnie the Pooh
The first rule of style is to have something to say.,George PÃ³lya
"It's more fun to talk with someone who doesn't use long, difficult words but rather short, easy words like 'What about lunch?'",Winnie the Pooh
"You don't start out writing good stuff. You start out writing crap and thinking it's good stuff, and then gradually you get better at it. That's why I say one of the most valuable traits is persistence.",Octavia Butler